date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:04:14	20/20	U-----	200	untouched ('OK')	text/plain	date:Wed,%2012%20Nov%202025%2009:10:17%20GMT	https://www.soscalemedia.se/robots.txt		(from )
16:04:17	99275/99275	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Nov%202025%2010:34:18%20GMT	https://www.soscalemedia.se/	C:/Users/patel/OneDrive/Desktop/here/soscalemedia/www.soscalemedia.se/index.html	(from )
16:04:18	262454/262454	---MCZ	200	added ('OK')	text/css	etag:W/%221aa2f82cdbfb67b7f7bf80c117123c09%22	https://cdn.prod.website-files.com/67a323a1c68594827fa0cca9/css/soscale-39349c-c66c87b5666753b1b89d5bc1.webflow.shared.1aa2f82cd.css	C:/Users/patel/OneDrive/Desktop/here/soscalemedia/cdn.prod.website-files.com/67a323a1c68594827fa0cca9/css/soscale-39349c-c66c87b5666753b1b89d5bc1.webflow.shared.1aa2f82cd.css	(from https://www.soscalemedia.se/)
16:04:18	13188/13188	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/patel/OneDrive/Desktop/here/soscalemedia/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.soscalemedia.se/)
16:04:18	820/820	---M--	200	added ('OK')	image/png	etag:%2274f71b92c942a692808bffb094f59dea%22	https://cdn.prod.website-files.com/67a323a1c68594827fa0cca9/67a392515bb29399f8c12d07_fav.png	C:/Users/patel/OneDrive/Desktop/here/soscalemedia/cdn.prod.website-files.com/67a323a1c68594827fa0cca9/67a392515bb29399f8c12d07_fav.png	(from https://www.soscalemedia.se/)
16:04:19	3541/3541	---M--	200	added ('OK')	image/png	etag:%223500fd2ffeed0ae88df2494e89e2d11f%22	https://cdn.prod.website-files.com/67a323a1c68594827fa0cca9/67a323a1c68594827fa0ce4b_fav_256.png	C:/Users/patel/OneDrive/Desktop/here/soscalemedia/cdn.prod.website-files.com/67a323a1c68594827fa0cca9/67a323a1c68594827fa0ce4b_fav_256.png	(from https://www.soscalemedia.se/)
16:04:19	1226/1226	---M-Z	200	added ('OK')	text/css	etag:W/%224ca-nJGFteWQrbIQTe4i4cgamzxckyk%22	https://cdn.jsdelivr.net/npm/splitting@1.0.6/dist/splitting.min.css	C:/Users/patel/OneDrive/Desktop/here/soscalemedia/cdn.jsdelivr.net/npm/splitting@1.0.6/dist/splitting.min.css	(from https://www.soscalemedia.se/)
16:04:19	1518/1518	---M-Z	200	added ('OK')	text/css	etag:W/%225ee-qb4/dRJAFuu6l0e9NJQ9lKWlYeQ%22	https://cdn.jsdelivr.net/npm/splitting@1.0.6/dist/splitting-cells.css	C:/Users/patel/OneDrive/Desktop/here/soscalemedia/cdn.jsdelivr.net/npm/splitting@1.0.6/dist/splitting-cells.css	(from https://www.soscalemedia.se/)
16:04:19	72214/72214	---M-Z	200	added ('OK')	application/javascript	etag:W/%2211a16-LSb0wGBJGsmA0JymhziNNhAlbrc%22	https://cdn.jsdelivr.net/npm/gsap@3.12.5/dist/gsap.min.js	C:/Users/patel/OneDrive/Desktop/here/soscalemedia/cdn.jsdelivr.net/npm/gsap@3.12.5/dist/gsap.min.js	(from https://www.soscalemedia.se/)
16:04:19	43380/43380	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a974-SJvPbZxp8PKfhx4DI1EMUZeFm/U%22	https://cdn.jsdelivr.net/npm/gsap@3.12.5/dist/ScrollTrigger.min.js	C:/Users/patel/OneDrive/Desktop/here/soscalemedia/cdn.jsdelivr.net/npm/gsap@3.12.5/dist/ScrollTrigger.min.js	(from https://www.soscalemedia.se/)
